* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_R.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_R.wav
* Measurement: captured_sweep_R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
72.875977 46.294 -152.0198
73.242188 45.412 -153.1407
73.608398 44.642 -150.2972
73.974609 44.265 -145.6915
74.340820 44.178 -141.8221
74.707031 44.135 -139.1703
75.073242 44.080 -137.2568
75.439453 44.072 -136.5649
75.805664 44.006 -138.4410
76.171875 43.549 -143.4073
76.538086 42.275 -150.1505
76.904297 39.711 -154.4523
77.270508 35.844 -142.8524
77.636719 36.056 -106.0387
78.002930 40.438 -97.3868
78.369141 43.576 -108.0486
78.735352 45.414 -124.3477
79.101562 46.257 -141.7019
79.467773 46.229 -157.5361
79.833984 45.375 -169.1484
80.200195 43.915 -172.4268
80.566406 42.949 -163.6204
80.932617 43.992 -151.1339
81.298828 46.055 -147.2191
81.665039 47.730 -150.1522
82.031250 48.688 -155.4399
82.397461 48.981 -160.2588
82.763672 48.771 -162.6625
83.129883 48.354 -161.1228
83.496094 48.242 -155.5542
83.862305 48.878 -149.2958
84.228516 50.066 -146.9836
84.594727 51.212 -150.0363
84.960938 51.892 -157.2668
85.327148 51.887 -166.9681
85.693359 51.057 -177.4031
86.059570 49.268 173.7383
86.425781 46.466 170.9164
86.791992 43.522 -177.6584
87.158203 43.316 -157.2008
87.524414 44.950 -150.8849
87.890625 45.885 -155.4370
88.256836 45.728 -161.9438
88.623047 44.860 -163.8491
88.989258 44.488 -157.5670
89.355469 45.833 -150.9750
89.721680 47.953 -153.3427
90.087891 49.670 -162.7010
90.454102 50.641 -174.9655
90.820312 50.816 172.6318
91.186523 50.172 162.3174
91.552734 48.710 157.0366
91.918945 46.767 162.0288
92.285156 46.077 -179.4969
92.651367 48.047 -163.4347
93.017578 50.619 -160.3667
93.383789 52.506 -165.0416
93.750000 53.494 -172.9128
94.116211 53.544 178.8558
94.482422 52.620 173.3535
94.848633 50.953 175.8901
95.214844 50.089 -168.7402
95.581055 51.777 -154.4016
95.947266 54.108 -153.7434
96.313477 55.617 -161.4639
96.679688 56.094 -172.2566
