* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_L.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_L.wav
* Measurement: captured_sweep_L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
73.608398 48.313 22.3875
73.974609 47.742 9.4940
74.340820 46.502 1.3395
74.707031 44.745 0.6090
75.073242 43.139 9.9102
75.439453 42.776 26.1138
75.805664 43.699 40.9178
76.171875 45.202 51.7368
76.538086 47.009 58.7496
76.904297 48.911 61.2036
77.270508 50.582 59.1074
77.636719 51.768 53.6249
78.002930 52.348 46.2352
78.369141 52.279 38.3569
78.735352 51.552 31.4806
79.101562 50.216 27.5725
79.467773 48.539 29.4161
79.833984 47.354 38.6772
80.200195 47.624 49.5126
80.566406 48.831 53.2914
80.932617 49.913 49.5375
81.298828 50.397 41.2034
81.665039 50.119 30.8256
82.031250 48.962 20.7814
82.397461 46.805 14.7953
82.763672 43.989 20.7487
83.129883 43.189 42.6617
83.496094 45.474 54.8524
83.862305 47.581 51.9261
84.228516 48.570 43.6299
84.594727 48.511 35.9211
84.960938 47.750 33.5063
85.327148 47.271 39.4224
85.693359 48.250 47.5232
86.059570 50.065 48.3489
86.425781 51.564 42.3765
86.791992 52.359 33.4524
87.158203 52.458 24.5432
87.524414 52.035 17.8120
87.890625 51.425 14.4946
88.256836 51.041 13.7438
88.623047 50.999 12.6036
88.989258 50.956 9.0493
89.355469 50.476 3.7919
89.721680 49.279 -0.4183
90.087891 47.381 1.2933
90.454102 45.826 15.0027
90.820312 46.684 33.1676
91.186523 48.954 39.6495
91.552734 50.847 36.6503
91.918945 52.011 29.7816
