* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_LR.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_LR.wav
* Measurement: captured_sweep_LR
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
73.974609 38.477 -173.8491
74.340820 40.193 169.4692
74.707031 40.269 145.4434
75.073242 38.899 110.2183
75.439453 37.639 55.0757
75.805664 39.822 -5.6719
76.171875 43.114 -49.3052
76.538086 45.424 -83.5320
76.904297 46.718 -114.7852
77.270508 47.230 -145.4341
77.636719 47.161 -176.1003
78.002930 46.633 153.5710
78.369141 45.652 124.5078
78.735352 44.081 97.8044
79.101562 41.645 74.5759
79.467773 37.861 56.5105
79.833984 31.648 48.9963
80.200195 21.812 96.2415
80.566406 28.033 164.8394
80.932617 32.985 176.1418
81.298828 36.523 179.2427
81.665039 39.329 176.3164
82.031250 41.293 168.9653
82.397461 42.373 159.2458
82.763672 42.597 148.7388
83.129883 41.982 138.6482
83.496094 40.487 130.3130
83.862305 38.002 126.4028
84.228516 34.710 133.9763
84.594727 33.196 159.6580
84.960938 35.336 175.9790
85.327148 37.415 173.0361
85.693359 38.207 160.9673
86.059570 37.629 144.8679
86.425781 35.493 127.8000
86.791992 31.162 115.8621
87.158203 25.104 140.1321
87.524414 29.518 174.4553
87.890625 34.025 159.3359
88.256836 36.516 133.0374
88.623047 37.841 104.4451
88.989258 38.255 77.0493
89.355469 37.742 53.7346
89.721680 36.319 38.9568
90.087891 34.999 39.3853
90.454102 36.227 46.9617
90.820312 38.828 41.8738
91.186523 40.624 26.8149
91.552734 41.103 8.2114
91.918945 40.039 -9.5820
92.285156 36.974 -19.2034
92.651367 33.317 4.4092
93.017578 37.457 32.6877
93.383789 41.765 24.3552
93.750000 44.022 5.6968
94.116211 44.667 -15.5830
94.482422 43.744 -36.5923
94.848633 40.748 -53.3870
95.214844 34.364 -45.1396
95.581055 36.779 15.3689
95.947266 43.039 12.2180
96.313477 46.299 -5.8799
96.679688 47.877 -26.7021
97.045898 48.273 -47.5833
97.412109 47.670 -67.0251
97.778320 46.132 -83.1562
98.144531 43.813 -92.6714
98.510742 41.524 -91.2888
98.876953 40.914 -83.5986
99.243164 41.609 -83.4937
99.609375 41.929 -91.9727
99.975586 41.200 -104.0334
100.341797 39.174 -115.3250
100.708008 35.620 -119.6309
